代码,名称,市盈率,市净率,股息率,历史ROE,近三年ROE,近五年ROE,市值
sh600346,恒力股份,32.4,3.2,1.43,4.93,16.39,20.92,882.72
sh601155,新城控股,8.47,2.85,2.09,26.84,27.72,32.84,875.61
sh603993,洛阳钼业,25.67,2.15,1.88,9.03,9.26,9.04,874.77
sz300059,东方财富,83.51,4.76,0.13,18.67,18.72,5.93,871.35
sh600606,绿地控股,7.07,1.17,3.5,13.02,14.42,15.12,868.81
sz300015,爱尔眼科,79.51,14.51,0.82,18.77,19.69,20.48,867.31
sz000895,双汇发展,16.72,6.01,7.69,25.87,29.93,31.26,857.89
sh600919,江苏银行,6.34,0.67,2.42,17.54,14.62,13.54,857.75
sz002027,分众传媒,16.88,5.94,1.75,25.79,60.13,61.77,836.64
sz000538,云南白药,24.89,4.02,0,22.34,20.65,18.65,833.12
sh601727,上海电气,26.37,1.42,1.68,9.73,5.85,5.3,823.03
sh601633,长城汽车,20.83,1.52,1.91,20.57,18.86,15.16,812.33
sh600010,包钢股份,25.28,1.51,0.28,7.28,1.49,3.65,802.3
sh601669,中国电建,10.11,0.89,1.82,16.53,11.77,10.9,781.78
sz002493,荣盛石化,48.45,3.55,0.99,19.34,7.55,12.54,763.74
sh601899,紫金矿业,19.63,1.83,2.72,22.26,8.67,9.62,762.33
sz000876,新希望,42.01,3.4,0.85,13.22,11.31,10.29,742.44
sh600958,东方证券,35.64,1.37,1.9,9.46,11.23,5.75,735.73
sh600600,青岛啤酒,46.95,3.91,0.77,10.08,9.27,7.36,733.58
sz300122,智飞生物,42.84,15.49,0.29,31.5,14.4,19.31,725.6
sh600332,白云山,18.31,3.13,0.86,10.46,14.68,13.67,721.85
sh601009,南京银行,6.22,0.88,4.09,16.64,17.35,16.72,715.9
sh600547,山东黄金,78.99,3.23,0.38,18.49,7.49,7.47,706.71
sh601600,中国铝业,69.68,1.33,0,2.65,-7.61,2.13,701.33
sh600025,华能水电,11.14,1.55,1.42,9.95,8.99,7.22,698.4
sh600196,复星医药,25.12,2.37,1.43,14.99,13.02,12.51,681.73
sh600741,华域汽车,9.67,1.41,4.92,13.66,18.19,17.29,673.42
sh600436,片仔癀,54.8,12.15,0.39,20.76,18.91,20.78,669.2
sh601919,中远海控,37.56,2.24,0,2.13,-4.35,-8.3,652.21
sh601898,中煤能源,18.19,0.69,1.12,7.19,1.37,2.98,648.35
sz002120,韵达股份,22.64,5.39,0.63,22.85,38.98,34.03,647.77
sz002230,科大讯飞,115.06,7.91,0.32,14.9,8.03,6.73,646.59
sz000723,美锦能源,34.6,8.58,1.27,2.48,5.45,14.68,643.57
sh601018,宁波港,22.14,1.64,1.54,10.42,7.95,7.36,642.83
sh601618,中国中冶,9.89,0.75,2.2,15.44,8.82,8.66,640.36
sh600352,浙江龙盛,14.69,2.97,1.27,19.16,19.42,17.02,639.61
sh600023,浙能电力,13.93,1,3.66,12.1,10.78,8.24,631.07
sh600438,通威股份,28.7,3.91,0.99,15.94,14.16,14.96,628.17
sz000069,华侨城A,5.76,1,4.01,18.12,17.52,17.96,614.49
sz000596,古井贡酒,32.21,7.29,0.82,11.99,17.99,19.67,611.22
sh603160,汇顶科技,52.54,13.01,0.46,49.03,36.48,31.88,597.53
sh600660,福耀玻璃,14.3,2.87,4.85,22.83,20.51,18.86,595.29
sh601991,大唐发电,52.9,1.18,2.8,7.33,2.14,0.11,594.07
sh600588,用友网络,71.77,9.14,0.65,15.51,8.46,6.83,575.79
sh600663,陆家嘴,16.22,3.38,2.73,10.58,16.19,18.78,573.53
sh601901,方正证券,61.35,1.49,0.14,9.39,6.82,4.35,572.13
sz002032,苏泊尔,32.26,8.69,1.73,21.8,24.01,26.17,558.86
sz002938,鹏鼎控股,20.03,3.07,0,15.66,12.53,15.4,556.36
sz000938,紫光股份,30.12,2.05,0.53,4.86,6.79,5.98,551.88
sh600383,金地集团,6.42,1.14,4.38,15.14,15.44,18.04,545.81
sh600688,上海石化,8.13,1.76,5.96,7.21,15.42,21.14,544.44
sz000661,长春高新,46.69,9.82,0.25,10.14,19.98,17.49,542.28
sh601607,上海医药,13.59,1.35,1.99,11.48,10.22,10.49,541.99
sh600188,兖州煤业,6.77,0.85,4.36,13.03,8.12,10.88,541.3
sh600893,航发动力,47.77,2.03,0.54,3.75,5.98,5.04,537.71
