代码,名称,市盈率,市净率,股息率,历史ROE,近三年ROE,近五年ROE,市值
sh600580,卧龙电驱,15.34,1.83,1.12,13.57,9.92,9.4,115.22
sz300068,南都电源,36.85,1.81,1.53,12.33,5.68,5.92,115.04
sz002537,海联金汇,68.76,1.73,0.54,15.21,4.63,5.31,114.88
sz300482,万孚生物,35.25,5.71,1.5,24.68,23.78,20.22,114.62
sz002557,洽洽食品,24.75,3.34,1.55,18.49,12.15,12.2,114.53
sh600490,鹏欣资源,73.85,2.12,0,-4.13,2.78,3.57,114.49
sh600611,大众交通,9.73,1.23,2.48,9.46,7.94,8.56,114.42
sz300567,精测电子,35.63,9.25,0.72,33.6,31.19,27.9,114.37
sh600295,鄂尔多斯,12.29,1.22,1.19,9.28,6.21,7.11,114
sh603888,新华网,38.1,4.01,0.91,29.2,18.81,13.68,113.77
sh600559,老白干酒,28.88,3.61,1.22,9.64,10.36,10.6,113.54
sz000636,风华高科,10.72,2.01,0.55,4.97,6.72,9.29,113.43
sz300527,中国应急,50.81,5.5,0.19,12.7,13.08,11.88,113.16
sz000712,锦龙股份,-87.14,3.39,0.79,8.51,11.56,3.52,112.99
sz000735,罗牛山,257.23,2.85,0,4.5,4.79,5.8,112.96
sz000968,蓝焰控股,16.24,2.84,0,10.49,16,17.87,112.81
sh600908,无锡银行,9.96,1.03,2.46,14.92,12.27,11.07,112.74
sh600517,置信电气,126.56,3.29,1.2,17.23,10.26,7.17,112.7
sh603609,禾丰牧业,18.72,2.81,0.82,16.62,14.09,15.04,112.52
sh600917,重庆燃气,34.01,2.79,1.8,11.45,10.6,9.79,112.5
sz002025,航天电器,30.24,4.06,0.95,15.54,13.03,13.58,112.48
sz300145,中金环境,28.09,2.29,0.86,17.63,13.41,12.05,112.14
sz000008,神州高铁,34.26,1.53,1.24,5.37,6.66,8.41,111.79
sh600305,恒顺醋业,35.2,5.3,0.98,7.28,13.72,14.58,111.74
sz000059,华锦股份,10.22,0.82,0,4.61,4.65,14.43,111.32
sh603323,苏农银行,13.48,1,2.21,13.65,10.2,9.2,111.28
sz000970,中科三环,44.43,2.46,0.86,13.28,7.14,6.76,111.21
sz000040,东旭蓝天,213.21,0.76,0.55,2.92,5.16,5.63,111.07
sz300113,顺网科技,39.72,3.59,1.25,39.48,18.98,18.2,110.95
sz300226,上海钢联,83.43,11.16,0,14.9,-13.24,9.45,110.76
sz002589,瑞康医药,16.07,1.28,0.93,16.43,11,12.1,110.6
sh603337,杰克股份,24.26,4.24,1.34,24.12,23.1,20.26,110.44
sz002389,航天彩虹,47.12,1.77,0.17,12.39,7.36,7.08,110.31
sz000088,盐田港,23.74,1.61,0.37,14.23,7.45,6.71,110.12
sz300199,翰宇药业,-28.45,3.42,1.69,16.1,7.27,3.14,110.09
sh600269,赣粤高速,6.55,0.7,3.61,10.37,6.81,7.5,110
sh600006,东风汽车,20.32,1.51,0.55,8.37,4.46,4.81,109.8
sh600869,智慧能源,68.09,2.22,0,4.1,5.69,3.24,109.64
sh600881,亚泰集团,-126.08,0.76,1.48,6.7,1.18,1.84,109.49
sz002444,巨星科技,14.49,1.62,0,20.04,11.56,10.87,109.14
sz300058,蓝色光标,23.88,1.41,0.47,19.22,8.26,7.56,109.09
sh601636,旗滨集团,9.94,1.4,7.41,19.86,11.78,16.34,108.87
sz000917,电广传媒,72.49,1.08,0,5.57,1.34,-0.16,108.87
sh600267,海正药业,-23.08,1.75,0.44,8.36,-0.6,-2.94,108.82
sz002807,江阴银行,12.53,0.99,2,14.9,10.84,9.31,108.81
sh600216,浙江医药,338.17,1.41,0.71,14.2,4.03,5.03,108.78
sz000517,荣安地产,8.79,2,0.59,11.69,8.6,10.46,108.57
sh603567,珍宝岛,22.89,2.11,1.45,22.13,15.1,11.16,108.52
sh601969,海南矿业,-17.38,2.6,0,15.67,-1.91,-7.62,108.49
sz000016,深康佳A,24.51,1.32,3.61,4.08,7.34,23.91,108.12
sz000815,美利云,353.65,5.33,0,-31.14,-125.13,1.25,108.11
sz000718,苏宁环球,11.59,1.26,2.81,-25.56,14.57,13.16,108.03
sh600764,中国海防,142.77,10.04,0.23,6.5,8.99,11.38,108.02
sz000923,河北宣工,52.51,1.68,0,1.24,1.59,5.35,107.96
sz000555,神州信息,230.47,2.19,0.29,1.83,7.9,4.82,107.71
sz002183,怡亚通,308.75,1.81,1.14,18.64,9.2,7.91,107.62
sz002678,珠江钢琴,59.38,3.21,1.01,10.51,7.15,6.7,107.44
sz300770,新媒股份,0,0,0,27.11,27.11,27.11,107.12
sz002358,森源电气,41.42,2.1,1.22,17.13,10.03,8.68,107.11
sz300203,聚光科技,17.5,3.03,0.76,21.34,13.93,16.27,106.93
sh600252,中恒集团,15.94,1.71,1.95,13.38,15.28,10.42,106.69
sz300292,吴通控股,-9.45,6.74,0.6,9.59,-4.07,-13.21,106.58
sh601678,滨化股份,18.51,1.7,3.19,12.62,10.55,11.62,106.56
sz300324,旋极信息,-3234.11,2.1,1.14,14.6,10.26,8.88,106.24
sh600012,皖通高速,9.28,1.02,3.59,11.73,11.72,11.61,106.15
sh601952,苏垦农发,18.1,1.86,2.6,24.41,19.58,15.52,106.11
sh600316,洪都航空,85.59,2.2,0.09,4.76,1.47,1.26,106.06
sh600491,龙元建设,10.94,1.06,0.51,11.72,8.51,9.68,105.86
sz300451,创业慧康,45.9,4.44,0.46,14.17,10.63,9.42,105.85
sh601606,长城军工,98.95,4.39,0,7.83,6.28,5.16,105.81
sh601369,陕鼓动力,26.62,1.63,2.46,14.25,5.68,4.54,105.47
sz002597,金禾实业,13.17,2.57,3.18,18.94,21.14,28.58,105.44
sz002912,中新赛克,53.85,8.18,0.76,21.46,20.44,18.48,105.33
sh600335,国机汽车,17.96,1.29,1.38,9.01,11.03,9.04,105.33
sz002004,华邦健康,20.44,1.15,3.76,17.92,6.88,5.57,105.33
sz000591,太阳能,12.44,0.82,2.09,7.03,7.24,6.91,105.25
sz002565,顺灏股份,115.46,4.9,1.36,20.31,3.97,4.74,105.09
sh600312,平高电气,30.57,1.17,1.81,9.5,10.01,8.54,104.89
sz300674,宇信科技,0,0,0,16.29,14.45,17.35,104.72
sh601311,骆驼股份,17.66,1.73,0.47,19.7,12.51,10.06,104.26
sz002950,奥美医疗,0,0,0,19.87,19.87,19.87,104.19
sz000519,中兵红箭,31.1,1.31,0,6.69,5.27,2.87,104.16
sh600418,江淮汽车,-11.19,0.81,1.27,13.37,5.26,2.82,104.13
sz300085,银之杰,404.29,7.79,0,14.31,5.31,4.44,103.88
sz002467,二六三,95.15,5.22,0,13.07,0.48,-4.2,103.79
sh600677,航天通信,29.87,2.91,0.35,4.92,-0.49,3.91,103.58
sz300118,东方日升,22.71,1.34,0.87,20.35,10.79,13.14,103.48
sz002491,通鼎互联,23.83,2.01,0.61,14.11,12.88,15.13,103.45
sz002273,水晶光电,22.07,2.62,0.84,23.02,10.63,11.18,103.28
sz000727,华东科技,-9.95,1.09,0,-2.25,-1.79,-3.09,103.27
sh600618,氯碱化工,9.31,2.44,0.39,1.98,7.15,18.63,103.27
sz300073,当升科技,30.26,3.07,0.46,12.73,6.87,12.03,103.24
sz000980,众泰汽车,13.49,0.58,0.29,2.49,4.61,6.01,103.21
sh603103,横店影视,35.47,4.39,1.01,37.43,42.15,28.48,103.19
sh603730,岱美股份,18.08,2.96,1.99,26.49,26.4,25.71,103.03
sz000528,柳工,12.75,1.05,2.16,11.05,3,4.21,102.6
sz300315,掌趣科技,-3.31,1.87,0.27,13.48,-2.72,-11.94,102.58
sz002498,汉缆股份,42.76,2.15,1.17,16.61,6.79,6.68,102.47
sh600797,浙大网新,48.91,2.25,0.51,6.82,5.72,8.43,102.46
sz000672,上峰水泥,6.15,2.69,0.79,8.55,25.53,33.8,102.43
sz000810,创维数字,27.08,3.25,0,11.99,15.38,12.11,102.36
sz002285,世联行,24.35,1.93,1.6,29.17,17.63,16.45,102.15
sh601717,郑煤机,9.65,0.87,0.85,27.62,2.69,3.61,102.04
sh603128,华贸物流,32.44,2.61,0.84,11.1,8.7,8.29,101.91
sz300369,绿盟科技,59.13,3.25,0.47,26.62,10.96,8.19,101.83
sh600072,中船科技,72.74,2.64,0,2.47,1.79,0.37,101.75
sz002818,富森美,13.7,2.17,8.18,22.32,18.92,17.81,101.75
sh603328,依顿电子,14.9,2.22,8.44,19.49,12.24,12.84,101.67
sh601666,平煤股份,10.42,0.76,0,17.47,1.74,8.54,101.53
sz300026,红日药业,46.26,1.55,0.59,28.3,13,7.5,101.47
sz002614,奥佳华,22.66,3.1,0.55,16.12,10.43,12.5,101.46
sz000061,农产品,111.8,2.03,0.84,5.25,1.03,1,101.31
sh600403,大有能源,19.66,1.16,1.44,16.01,-4.75,-3.59,101.13
sh603039,泛微网络,84.39,13.49,0.15,28.9,22.13,19.57,101.08
sh603345,安井食品,35.96,4.73,0.6,18.83,16.93,15.76,101
sh600420,现代制药,14.08,1.44,0.52,15.32,12.22,9.68,100.98
sh600546,山煤国际,24.69,1.76,0,8.35,-10.94,7.05,100.71
sz000426,兴业矿业,-31.71,1.98,0.37,3.97,2.94,3.64,100.71
sz300495,美尚生态,26.01,2.42,0.34,27.58,18.54,13.34,100.41
sh600758,红阳能源,83.17,1.79,1.45,3.32,0.52,4.69,100.21
sz002672,东江环保,25.4,2.42,1.42,16.44,13.06,13.92,100.2
sh601011,宝泰隆,27.86,1.63,0.8,11.09,3.2,3.78,100.2
sh600997,开滦股份,6.78,0.92,1.9,13.08,4.24,8.65,100.19
sz000158,常山北明,51.81,1.67,0.83,4.19,4.44,5.13,100
sh603218,日月股份,31.71,3.26,0.82,21.03,21.27,13.46,99.81
sh600565,迪马股份,9.54,1.18,2.21,9.18,10.54,10.57,99.47
sz002250,联化科技,77.55,1.7,0.93,18.15,9.08,3.53,99.25
sh600057,厦门象屿,9.02,0.8,2.17,10.26,9.33,8.62,99.24
sh603305,旭升股份,35.83,6.68,0.4,27.86,30.12,33.34,99.23
sz002237,恒邦股份,25.3,2.23,0.92,15.15,6.74,7.69,99.14
sz300725,药石科技,67.51,15.65,0.29,22.34,22.61,22.33,99.1
sh600185,格力地产,18.8,1.24,6.24,11.56,15.48,9.02,99.09
sz300115,长盈精密,192.22,2.28,0.92,22.03,12.96,11.11,98.9
sz000070,特发信息,37.76,4.19,0.27,4.8,10.52,13.08,98.71
sh603587,地素时尚,15.86,3.01,4.06,58.75,50.23,41.49,98.69
sz002185,华天科技,30.34,1.69,0.43,13.55,10.28,8.31,98.67
sz300257,开山股份,79.29,2.83,0.87,18.04,4.94,3.17,98.67
sh600562,国睿科技,262.49,5.5,0.68,8.72,13.21,9.62,98.52
sz002698,博实股份,39.5,4.58,0.55,16.54,8.99,7.43,98.51
sz000090,天健集团,12.45,1.11,2.92,7.34,10.03,9.45,98.46
sz002234,民和股份,12.58,6.53,0,6.72,-0.17,8.08,98.38
sz002320,海峡股份,46.22,2.62,1.34,15.5,5.54,5.84,98.34
sz002061,浙江交科,10.16,1.37,1.4,11.27,9.75,20.03,98.08
sz000025,特力A,110.29,9.17,0,0.22,6.13,6.3,97.98
sz002155,湖南黄金,36.79,2,0,10.46,4.5,5.5,97.97
sh600138,中青旅,17.4,1.58,0.74,10.15,9.3,10.14,97.94
sz002156,通富微电,263.18,1.61,0,8.61,3.93,3.31,97.6
sh603680,今创集团,22.19,2.53,1.87,28.65,30.86,25.73,97.56
sz002042,华孚时尚,13.84,1.43,7.79,8.81,9.77,11.43,97.54
sh600017,日照港,13.79,0.85,0.63,9.35,4,3.7,97.5
sz002266,浙富控股,71.33,2.97,0.2,20.67,3.03,2.86,97.16
sh600171,上海贝岭,53.36,3.72,0.58,4.26,4.08,5.04,97.11
sh600400,红豆股份,45.88,2.31,5.22,6.61,6.75,8.21,97.02
sz002091,江苏国泰,9.63,1.21,3.24,19.57,15.33,14.9,96.92
sh603025,大豪科技,28.55,5.13,9.53,25.47,20.51,20.46,96.71
sz000676,智度股份,14.14,1.6,0.32,-0.24,-0.17,11.88,96.7
sh601900,南方传媒,12.67,1.68,1.9,16.48,15.09,13.38,96.67
sh600478,科力远,-704.74,4.74,0,3.88,-3.37,-4.19,96.55
sh600702,舍得酒业,26.77,3.66,0.15,4.61,4.66,7.46,96.27
sz002292,奥飞娱乐,-5.93,2.43,0,15.52,2.83,-7.9,95.95
sh600771,广誉远,25.25,4.14,0,-3.53,20.58,15.53,95.91
sz002100,天康生物,33.32,2.96,1.01,14.6,12.6,13.55,95.76
sh600073,上海梅林,29.66,2.36,0.29,4.29,6.76,8.28,95.74
sh600395,盘江股份,9.91,1.37,6.06,12.07,7.44,10.63,95.66
sh601200,上海环境,16.78,1.58,0.76,9.11,9.11,10.01,95.62
sz002681,奋达科技,-12.17,1.81,1.3,14.36,8.01,4.17,95.59
sz002951,金时科技,0,0,0,23.34,23.34,23.34,95.54
sz002643,万润股份,19.8,2.11,1.46,19.27,9.83,10.27,95.37
sh601069,西部黄金,951.81,5.73,0.07,13.17,4.12,3.18,95.21
sh600125,铁龙物流,18.91,1.64,1.1,11.93,6.82,6.87,95.17
sz002635,安洁科技,14.92,1.33,0.77,22.28,12.89,11.02,95.08
sz300748,金力永磁,59.21,7.84,0,17.89,19.78,16.13,95.05
sh603377,东方时尚,39.77,5.52,1.86,45.82,30.16,14.2,94.79
sh600231,凌钢股份,9.37,1.26,1.46,10.81,4.33,13.57,94.77
sz300634,彩讯股份,57.92,7.46,0,14.74,13.43,14.97,94.68
sh600456,宝钛股份,52.94,2.65,0.23,8.34,0.15,1.92,94.66
sz000969,安泰科技,-54.72,2.19,0.33,4.91,-1,-0.6,94.5
sz002020,京新药业,22.85,2.64,1.53,11.87,9.72,9.21,94.45
sh600337,美克家居,20.75,2.01,2.07,6.89,9.86,10.24,94.43
sz300119,瑞普生物,76.24,4.79,0.64,14.78,5.52,6.41,94.37
sz000758,中色股份,95.94,1.8,0.31,8.24,5.44,4.09,94.33
sh600996,贵广网络,30.18,2.01,1.47,19.31,20.23,14.01,94.25
sz002596,海南瑞泽,75.84,2.62,0.25,14.52,4.56,5.1,94.18
sh600563,法拉电子,20.73,3.68,2.87,16.75,18.94,19.52,94.14
sh600939,重庆建工,25.29,1.35,1.2,10.15,8.01,6.44,93.99
sh603733,仙鹤股份,40.67,2.87,1.95,15.73,14.57,13.96,93.94
sz002683,宏大爆破,40.01,3.03,0.75,14.59,6.08,4.91,93.76
sz002341,新纶科技,36.03,1.81,0.43,15.3,2.8,5.13,93.56
sh603699,纽威股份,29.36,3.37,1.28,20.9,13.51,9.22,93.53
sz000828,东莞控股,8.48,1.39,2.78,9.14,17.06,16.95,93.45
sz000400,许继电气,47.31,1.2,0.22,10.01,11.75,8.01,93.27
sh603766,隆鑫通用,10.24,1.41,8.81,17.74,15.81,15.18,93.23
sz300284,苏交科,14.55,2.16,1.39,17.54,14.19,14.33,93.17
sz002677,浙江美大,23.82,6.4,3.22,22.57,20.69,24.5,93.16
sh603368,柳药股份,16.19,2.34,1.84,23.17,16.63,12.62,93.16
sz002776,柏堡龙,45.66,3.93,0.39,24.52,14.6,8.16,93.06
sh600180,瑞茂通,20.55,1.58,0.77,0.83,14.8,11.73,93.01
sh600096,云天化,50.47,2.05,0,6.64,-16.76,-16.58,92.8
sz300724,捷佳伟创,28.55,3.99,0,14.28,16.73,23.54,92.61
sz002426,胜利精密,-8.84,1.19,1.12,16.31,3.72,1.55,92.58
sz002370,亚太药业,46.49,3.6,0.58,10.36,8.22,9.43,92.55
sz000030,富奥股份,10.81,1.44,3.91,10.94,14.04,14.49,92.52
sz002303,美盈森,22.94,2.03,2.15,18.29,9.59,8.62,92.49
sz300123,亚光科技,51.13,1.93,0.12,10.74,2.76,3.31,92.48
sz002446,盛路通信,72.05,2.59,0.14,12,6.01,5.14,92.44
sz002531,天顺风能,19.45,1.75,0.64,18.95,11.41,11.3,92.33
sz002176,江特电机,-5.04,2.57,0.37,3.9,-6.91,-13.13,92.31
sz300456,耐威科技,91.64,3.42,0.18,21.49,9.89,5.53,92.29
sh601058,赛轮轮胎,12.59,1.44,1.47,10.6,8.29,8.66,92.12
sh600851,海欣股份,65.93,2.37,0.39,4.08,3.73,2.83,92.1
sh601886,江河集团,14.66,1.18,3.76,12.69,6.53,7.15,92.09
sz002675,东诚药业,30.35,2.18,0.24,18.41,7.11,6.63,91.53
sh601258,庞大集团,-1.37,1.54,0,14.77,-11.02,-19.5,91.44
sh600828,茂业商业,7.3,1.49,6.64,9.15,20.45,20.24,91.28
sz002434,万里扬,27.13,1.5,2.2,14.8,9.45,9.54,91.25
sz002023,海特高新,134.86,2.6,0,10.62,3.16,1.34,91.12
sz002390,信邦制药,-6.96,1.91,0.55,6.44,0.28,-4.44,91.03
sz002488,金固股份,58.21,2.29,1.67,10.4,1.25,-1.16,91.01
sz002737,葵花药业,15.69,2.65,6.42,26.33,18.55,15.05,90.99
sh601567,三星医疗,14.35,1.19,4.57,24.4,13.86,11.46,90.96
sz300339,润和软件,28.33,1.95,0.88,15.36,8.95,7.64,90.95
sz300365,恒华科技,33.56,4.95,1.33,27.52,17.26,18.88,90.91
sh603383,顶点软件,74.41,8.71,0.66,22.19,19.04,14.06,90.79
sh600246,万通地产,30.24,1.26,0.61,7.72,-1.08,4.12,90.79
sz000981,ST银亿,-9.28,0.64,31.11,-0.2,7.12,3.88,90.63
sh603363,傲农生物,270.86,10.87,0.17,20.33,18.12,14.96,90.61
sh600058,五矿发展,-11.29,1.37,0,4.2,-15.26,-6.47,90.47
sz002267,陕天然气,23.06,1.51,3.69,18.63,10.29,8.2,90.41
sh601858,中国科传,20.51,2.55,1.56,14.23,13.42,12.9,90.35
sh600033,福建高速,12.06,0.96,3.65,11.05,7.79,8.02,90.29
sz002610,爱康科技,73.48,1.53,0,17.31,3.5,2.33,90.23
sz300377,赢时胜,50.29,3.28,1.24,26.47,9.12,6.83,89.81
sh603355,莱克电气,20.57,3.13,9.79,22.42,17.12,14.18,89.74
sz000989,九芝堂,33.76,2.13,3.88,14.83,20.75,13.53,89.63
sz002709,天赐材料,122.12,3.14,0.69,15.11,15.87,20.34,89.62
sh600736,苏州高新,14.64,1.04,1.86,9.17,6.76,8.15,89.57
sz000848,承德露露,21.5,4.18,5.46,19.79,27.53,22.78,89.54
sz002542,中化岩土,40.58,2.28,0.4,21.82,9.2,7.42,89.47
sz002030,达安基因,87.67,4.2,0.22,14.73,9.71,6.26,89.47
sz000726,鲁泰A,10.55,1.22,4.8,15.13,12.17,11.6,89.42
sz002705,新宝股份,16.29,2.25,2.69,14.99,13,14.04,89.36
sz300476,胜宏科技,22.92,2.9,2.62,16.85,15.59,15.22,89.21
sh603220,贝通信,63.43,6.12,0,18.13,18.13,17.15,89.17
sh600641,万业企业,14.65,1.45,5.73,12.79,16.96,22.32,89.08
sh600757,长江传媒,11.23,1.29,1.36,-5.8,8.89,11.07,88.96
sz002123,梦网集团,93,1.96,0,14.53,0.31,3.82,88.92
sh600850,华东电脑,28.78,3.63,1.05,9.49,17.02,14.67,88.89
sh600781,辅仁药业,9.65,1.58,0.9,2.53,14.08,16.57,88.81
sh601116,三江购物,69.8,2.8,1.24,16.01,5.91,6.12,88.67
sh600557,康缘药业,19.75,2.37,0.4,14.69,13.02,11.86,88.58
sz002503,搜于特,27.78,1.65,6.99,20.07,9.03,10.23,88.45
sz002376,新北洋,23.69,2.71,1.51,18.32,12.19,11.65,88.41
sz002911,佛燃股份,26.12,3.34,1.89,23.75,21.59,19.05,88.24
sh603678,火炬电子,25.15,3.09,0.81,20.91,14.75,11.59,88.09
sh600422,昆药集团,24.69,2.25,0,10.54,12.47,9.94,88
sz300367,东方网力,26.06,2.15,0.44,30.15,16.01,11.57,87.85
sh600429,三元股份,44.41,1.75,0.29,0.85,2.97,2.47,87.76
sz002568,百润股份,62.32,4.49,0.71,19.69,16.14,0.55,87.64
sh600158,XD中体产,93.55,5.16,0.21,6.56,4.93,4.19,87.5
sz002407,多氟多,274.89,2.49,2.74,12.32,7.08,10.85,87.34
sh600965,福成股份,53.57,4.37,0.66,7.87,10.39,9.36,87.27
sz000933,神火股份,38.78,1.42,0.54,15.03,-3.23,5.54,87.23
sz300194,福安药业,-23.28,2.31,1.36,46.58,2.31,1.85,87.21
sz000767,漳泽电力,12.96,1.15,0,-0.34,1.22,-4.48,87.08
sz300232,洲明科技,19.69,3.55,0.44,28.14,15.53,17.23,87.02
sh601222,林洋能源,11.32,0.86,0.81,19.07,9.78,7.42,87.01
sz000501,鄂武商A,8.2,1.02,0.71,10.33,18.4,16.93,86.97
sz000881,中广核技,27.84,1.53,0.44,11.07,13.3,12.09,86.61
sz002746,仙坛股份,16.39,3.32,1.43,18.49,9.83,13.71,86.46
sh600217,中再资环,25.1,5.76,0,-22.9,19.47,15.58,86.37
sz002280,联络互动,-11.63,1.64,0,28.11,16.74,-1.35,86.22
sh601113,华鼎股份,26.33,1.41,0,6.87,2.43,3.78,86.19
sz300079,数码科技,100.91,2.31,0.17,14.81,4.87,3.45,86.16
sz300037,新宙邦,26.07,2.99,0.88,18.63,11,12.4,86.1
sz002293,罗莱生活,16.46,2.19,3.07,24.81,15.2,13.94,86
sz000789,万年青,7.61,2.02,2.5,9.69,17.98,18.75,85.93
sz002314,南山控股,20.99,1.09,0,12.19,5.75,8.76,85.84
sh601918,新集能源,27.36,1.49,0,6.24,-12.09,3.71,85.75
sz002573,清新环境,16.91,1.8,1.26,15.15,16.59,17.27,85.74
sz300572,安车检测,60.39,12.11,0.35,20.61,17.8,17.31,85.47
sz000543,皖能电力,13.82,0.8,0.21,6.42,8.1,5.22,85.4
sh603013,亚普股份,28.52,3.13,0,19.6,16.81,16.23,85.32
sz000976,华铁股份,58.28,2,0,-4.57,-7.94,5.99,85.21
sh600579,天华院,68.53,1.54,0,-62.05,3.04,0.12,85.14
sh600694,大商股份,8.3,1,3.11,11.23,13.53,11.79,84.91
sh600624,复旦复华,178.51,7.32,0.2,3.91,4.27,3.7,84.9
sh600123,兰花科创,7.75,0.81,2.96,15.8,2.59,4.11,84.88
sz000036,华联控股,7.46,1.66,6.74,8.87,21.86,34.67,84.7
sh603956,威派格,0,0,0,15.49,15.49,15.49,84.47
sh600622,光大嘉宝,9.45,1.34,2.87,8.26,10.69,10.56,84.44
sz300197,铁汉生态,29.73,1.33,1.39,22.61,10.93,9.96,84.2
sz002274,华昌化工,41.85,3.09,0.75,6.62,0.67,2.87,84.19
sz002064,华峰氨纶,18.87,2.15,0.5,14.8,8.03,4.95,84.18
sz002093,国脉科技,82.38,2.62,0.18,13.54,4.53,5.09,84.13
sz300130,新国都,28.11,3.9,1.99,18.4,8.25,8.88,84.11
sz002383,合众思壮,76.77,2.19,0.44,11.98,4.51,5.34,84.05
sh603298,杭叉集团,14.71,2.1,2.21,19.93,18.88,16.38,84.04
sz002530,金财互联,27.9,1.99,0.47,14.43,5.57,5.97,83.86
sz002482,广田集团,25.51,1.21,0.92,17.99,8.31,7.33,83.78
sz002697,红旗连锁,24.07,3.11,0.34,23.59,9.11,9.1,83.64
sz002626,金达威,17.4,2.69,2.95,19.49,16.91,20.96,83.59
sz002481,双塔食品,118.7,3.18,0.15,14.96,5.66,2.39,83.31
sz000733,振华科技,29.79,1.67,0.31,3.76,5.06,5.33,83.3
sh600596,新安股份,7.62,1.44,1.69,15.23,6.71,12.95,83.3
sh600131,岷江水电,79.87,6.62,0.3,7.4,13.84,10.99,83.18
sz001696,宗申动力,21.47,2,0.41,18.91,9.59,8.32,83.13
sz000525,红太阳,15.09,1.75,3.49,7.3,9.31,10,83.11
sh603113,金能科技,7.17,1.66,1.23,13.82,16.78,23.52,83.07
sz002449,国星光电,17.63,2.33,2.38,13.31,9.04,10.76,83
sz002733,雄韬股份,62.29,3.46,0.42,11.22,7.9,4.54,82.98
sz300002,神州泰岳,399.83,1.63,0.17,23.27,7.26,4.69,82.95
sz300666,江丰电子,146.93,13.29,0.14,12.13,13.22,15.31,82.93
sh600116,三峡水利,38.71,2.88,1.32,4.62,10.82,10.28,82.82
sh600601,方正科技,-318.73,2.69,0,6.98,-2.14,-6.84,82.75
sz000403,振兴生化,108.61,12.48,0,2.75,15.68,9.23,82.65
sh603877,太平鸟,15.72,2.34,4.08,22.15,25.27,18.28,82.55
sz000058,深赛格,325.9,4.3,0.82,1.92,7.32,8.19,82.54
sh600428,中远海特,84.73,0.86,0.52,13.44,1.85,1.33,82.43
sz000697,炼石航空,430.18,2.72,0,3.55,2.76,0.9,82.41
sh600759,洲际油气,227.85,1.58,0,5.93,0.57,-0.7,82.39
sz300297,蓝盾股份,20.54,1.73,0.55,14.45,9.91,10.87,82.38
sz002832,比音勒芬,24.4,4.81,2.2,31,22.38,18.24,82.27
sh603027,千禾味业,45.44,6.04,0.53,19.18,15.67,16.37,82.06
sz300735,光弘科技,24.54,4.32,0.87,22.55,22.55,24.12,81.93
sh603693,江苏新能,30.57,1.81,1.51,9.54,11.08,9.3,81.89
sh600645,中源协和,-349.3,2.93,0,-0.37,5.1,1.12,81.87
sh603848,好太太,31.03,6.12,0.76,33.72,30.65,25.92,81.8
sz300765,新诺威,0,0,0,0,0,0,81.52
sz002275,桂林三金,19.52,2.87,2.9,21.46,17.16,16.65,81.51
sz002611,东方精工,-2.11,2.05,1.02,11.3,-6.94,-17.32,81.45
sz300755,华致酒行,0,0,0,19.18,19.18,19.18,81.37
sz002028,思源电气,25.21,1.77,0.94,19.3,8.9,7.04,81.27
sh600715,文投控股,-10.53,1.28,1.62,-34.72,4.41,3.86,81.24
sh600162,香江控股,15.95,1.59,6.69,10.47,12.23,11.34,81.24
sz002194,*ST凡谷,31.26,4.89,0,14.27,-3.06,-8.63,81.2
sz300054,鼎龙股份,27.24,2.2,0.12,17.54,11.16,10.28,81.13
sh603737,三棵树,35.48,6.06,0.9,21.82,19.85,17.24,81.02
sz002798,帝欧家居,20.11,2.44,0.95,15.78,12.13,10.74,80.9
sz002258,利尔化学,15.11,2.58,0,23.96,14,16.82,80.75
sz300298,三诺生物,29.17,3.04,2.11,36.95,14.72,13.95,80.56
sh603118,共进股份,29.11,1.75,0.39,12.69,8.92,5.74,80.52
sz002621,美吉姆,172.19,6.59,0,11.85,3.15,1.7,80.43
sz000043,中航善达,9.52,1.64,0.83,8.15,10.21,8.79,80.37
sz300762,上海瀚讯,0,0,0,16.19,16.19,16.19,80.27
sh601929,吉视传媒,26.59,1.15,0.97,10.8,6.67,5.46,80.26
sz000620,新华联,6.94,1.03,2.36,17.41,11.4,12.87,80.23
sh601908,京运通,28.61,1.17,1.49,17.86,4.94,5.67,80.21
sz002859,洁美科技,30.41,5.07,0.84,23.88,21.58,21.59,80.15
sz300726,宏达电子,33.98,4.98,0.5,23.23,23.16,21.7,80.1
sh600619,海立股份,25.47,1.79,1.3,6.44,4.99,6.21,80.05
sz000936,华西股份,12.11,1.61,0.33,8.02,6.74,9.03,80.01
sh601566,九牧王,13.09,1.7,7.18,24.57,9.64,10.32,79.99
sh600151,航天机电,114.1,1.35,0,3.94,0.98,-0.14,79.89
sz002215,诺普信,26.06,3.61,1.72,17.74,8.88,5.75,79.8
sh603096,新经典,32.99,4.43,1.02,21.24,22.03,19.83,79.75
sz002717,岭南股份,11.03,1.75,2.25,28.07,17.47,16.59,79.7
sz002517,恺英网络,494.21,3.48,3.24,31.01,40.42,29.89,79.64
sh603980,吉华集团,10.97,1.77,1.57,33.67,34.46,16.43,79.55
sh601001,大同煤业,10.31,1.36,0,10.79,0.28,9.21,79.5
sz002618,丹邦科技,337.49,4.62,0.03,9.34,2.88,1.46,79.39
sh600090,同济堂,14.84,1.28,3.63,23.04,10.97,9.39,79.33
sz000799,酒鬼酒,34.07,3.6,0.61,3.23,5.04,8.57,79.32
